NULL-les                              14
NULL-me                               14
NULL-ng                               14
NULL-ni                               14
NULL-nt-nte-nts                       14
NULL-r-ra                             14
NULL-son                              14
a-ait-ant-e-ent-er-é                  14
ait-ent                               14
an-en                                 14
ce-t-ts                               14
e-es-ie-ies                           14
e-es-é-ée-ées-és                      14
e-es-és                               14
f-on-ons                              14
ie-ue                                 14
ire-ria                               14
km-m                                  14
l-r                                   14
sme-ste-té                            14
NULL-ait-ont                          13
NULL-ent-t                            13
NULL-ge-ges                           13
NULL-ge-ges-it-nt                     13
NULL-iv                               13
NULL-ner-s                            13
NULL-nne                              13
NULL-nt-r-s-ur-urs                    13
NULL-ta                               13
a-s                                   13
ais-e                                 13
ard-ons                               13
ca-que                                13
ent-nt                                13
h-s                                   13
ie-y                                  13
il-on                                 13
on-ve                                 13
que-ste                               13
r-urs                                 13
--NULL-m                              12
/s-NULL                               12
NULL-al                               12
NULL-as                               12
NULL-el                               12
NULL-ii-iii                           12
NULL-km-m                             12
NULL-nes                              12
NULL-t-ts                             12
NULL-tes                              12
NULL-um                               12
NULL-é                                12
a-ion                                 12
a-r                                   12
age-e                                 12
ble-it-nt                             12
e-er-é-ée-ées-és                      12
er-ii                                 12
er-é-és                               12
er-ée                                 12
eur-ion-ive                           12
eur-ure                               12
i-re                                  12
ii-v                                  12
km2-m                                 12
le-les-ux                             12
le-s                                  12
on-ons-ve-ves                         12
0-2-4                                 11
3-8                                   11
NULL-]                                11
NULL-a-ent                            11
NULL-a-o                              11
NULL-av-m                             11
NULL-de-des                           11
NULL-er-ers                           11
NULL-ers                              11
NULL-et                               11
NULL-ion-s                            11
NULL-ire-it-nt                        11
NULL-it-nce-nt-nte-nts                11
NULL-n-nne                            11
NULL-na-ne-ner-né-née-nés-s           11
NULL-nt-r-z                           11
NULL-r-rs-s                           11
NULL-r-t                              11
NULL-rs                               11
NULL-s-t-ts                           11
NULL-s-ur                             11
NULL-s-us                             11
NULL-sa                               11
NULL-ts                               11
a-ait-ant-e-ent-er-era                11
a-ait-ant-e-er-é-ée-ées-és            11
a-en                                  11
age-e-es                              11
al-ale-aux-e-es                       11
ce-te                                 11
e-es-ien                              11
e-es-o                                11
e-es-on                               11
e-es-ées                              11
e-ia                                  11
e-on                                  11
e-sme                                 11
e-és                                  11
en-ens-sme                            11
it-nt-nte                             11
nce-r                                 11
o-u                                   11
que-te                                11
sme-te-tes                            11
0-1-2                                 10
0-5-8                                 10
1-7                                   10
2-3-4                                 10
2-8                                   10
NULL-a-ait-ant-nt-r                   10
NULL-a-e                              10
NULL-ans                              10
NULL-au                               10
NULL-ays                              10
NULL-b                                10
NULL-eau                              10
NULL-ens                              10
NULL-ier-ii-iii-iv                    10
NULL-j                                10
NULL-l-s                              10
NULL-nne-ns                           10
NULL-on-ons                           10
NULL-os                               10
NULL-ra                               10
NULL-ra-re                            10
NULL-s-te-tes                         10
NULL-s-x                              10
NULL-ski                              10
NULL-sse                              10
NULL-to                               10
NULL-ur-urs                           10
NULL-urs                              10
NULL-use-ux                           10
a-ait-ant-e-ent-er-ât-é-ée-ées-és     10
a-ait-e-er                            10
a-ait-e-ont                           10
a-ant-er                              10
a-er-é-ée                             10
a-er-é-ée-ées-és                      10
a-um-us                               10
a-é                                   10
ait-ant-e-ent-it                      10
ant-e-ent                             10
ant-e-ent-er                          10
ant-e-ent-er-é-ée-ées-és              10
ard-on-ons                            10
ce-t-te-ts                            10
e-ea-ent-er-é-ée-ées-és               10
e-es-é-és                             10
e-es-ée                               10
e-ion                                 10
e-t                                   10
g-m-m/h-m2                            10
g-m2                                  10
ge-ges-nt                             10
ge-it-nt                              10
i-us                                  10
i-ï                                   10
ire-nt                                10
les-ux                                10
que-sme-ste                           10
s-te                                  10
y-é                                   10
y-é-és                                10
0-9                                   9
1-2-NULL                              9
1-9                                   9
4-5-6                                 9
4-NULL                                9
6-7-8                                 9
6-7-8-9                               9
7-NULL                                9
NULL-a-ait-ant-e-ent-er-s-é-ée-ées-és 9
NULL-age                              9
NULL-ana                              9
NULL-ble-nt                           9
NULL-e-es-ité-s                       9
NULL-e-es-r-ra-s-t                    9
NULL-e-i                              9
NULL-eux-s                            9
NULL-ev                               9
NULL-f                                9
NULL-i-it                             9
NULL-i-o                              9
NULL-ier-s                            9
NULL-is-s                             9
NULL-it-nce-nt                        9
NULL-it-nt-tif                        9
NULL-l-le-les-ux                      9
NULL-li                               9
NULL-ly                               9
NULL-mm                               9
NULL-n-r                              9
NULL-nt-r-ra-ur-urs                   9
NULL-nt-ur-urs                        9
NULL-ons                              9
NULL-sk                               9
NULL-tan                              9
NULL-ure                              9
NULL-»                                9
a-ant-e-er-é-ée-ées-és                9
a-ent                                 9
a-ien                                 9
a-ose                                 9
age-eur                               9
ait-ant-ent-it                        9
an-án                                 9
ant-e-er                              9
as-e                                  9
ce-ces-t-ts                           9
ce-ts                                 9
ck-k                                  9
d-l                                   9
de-s                                  9
dra-ne-t                              9
e-es-i                                9
e-es-ia                               9
e-io                                  9
e-é-és                                9
er-ion                                9
er-é-ée-és                            9
er-ées                                9
er-és                                 9
es-i                                  9
es-ité                                9
es-és                                 9
f-fs-on-ons                           9
fs-on-ons                             9
l-n                                   9
le-ux                                 9
mme-phe                               9
n-se                                  9
ne-te                                 9
nt-s                                  9
1-2-5                                 8
3-7-9                                 8
6-7-9                                 8
NULL-a-as                             8
NULL-a-us                             8
NULL-al-ale-aux-s                     8
NULL-at                               8
NULL-d-s                              8
NULL-e-es-is                          8
NULL-e-o                              8
NULL-ey                               8
NULL-ge-ges-nt                        8
NULL-i-ii-v                           8
NULL-ium                              8
NULL-ley                              8
NULL-lle                              8
NULL-mai                              8
NULL-nus                              8
NULL-r-s-ur-urs                       8
NULL-ri                               8
NULL-s-te                             8
NULL-s-y                              8
NULL-sen                              8
NULL-ter                              8
NULL-ti                               8
NULL-té                               8
NULL-ux                               8
a-ait-ant-e-ent                       8
a-ait-ant-e-ent-er-era-ât-é-ée-ées-és 8
a-e-ent-er                            8
a-ha                                  8
age-e-er-es                           8
age-é                                 8
ait-ant-e-ent-er-é-ée-ées-és          8
ait-e-ent                             8
ant-e-es                              8
ble-on-ons                            8
ce-ces-t-te-ts                        8
dés-nés                               8
dés-s                                 8
e-es-ite                              8
e-es-que-ste                          8
e-es-um                               8
e-in                                  8
e-ne                                  8
